workflow,family,mode,state,elapsed_s,image,note
Z01_BEYOND,z,SFW,ok,80.5,FINAL-Z01_BEYOND-SFW_00001_.png,
Z01_BEYOND,z,NSFW,ok,76.2,FINAL-Z01_BEYOND-NSFW_00001_.png,
Z02_MOODY,z,SFW,ok,76.3,FINAL-Z02_MOODY-SFW_00001_.png,
Z02_MOODY,z,NSFW,ok,210.6,FINAL-Z02_MOODY-NSFW_00001_.png,
Z03_DIVING,z,SFW,ok,74.2,FINAL-Z03_DIVING-SFW_00001_.png,
Z03_DIVING,z,NSFW,ok,70.1,FINAL-Z03_DIVING-NSFW_00001_.png,
R04_INTO,real,SFW,ok,50.1,FINAL-R04_INTO-SFW_00001_.png,
R04_INTO,real,NSFW,ok,42.1,FINAL-R04_INTO-NSFW_00001_.png,
A05_RIMIX,anime,SFW,ok,28.0,FINAL-A05_RIMIX-SFW_00001_.png,
A05_RIMIX,anime,NSFW,ok,16.0,FINAL-A05_RIMIX-NSFW_00001_.png,
A06_FAB,anime,SFW,ok,24.1,FINAL-A06_FAB-SFW_00001_.png,
A06_FAB,anime,NSFW,ok,16.0,FINAL-A06_FAB-NSFW_00001_.png,
N07_YUME,anima,SFW,ok,20.1,FINAL-N07_YUME-SFW_00001_.png,
N07_YUME,anima,NSFW,ok,10.1,FINAL-N07_YUME-NSFW_00001_.png,
N08_NIJI,anima,SFW,ok,20.0,FINAL-N08_NIJI-SFW_00001_.png,
N08_NIJI,anima,NSFW,ok,10.1,FINAL-N08_NIJI-NSFW_00001_.png,
