index,name,state,elapsed_s,image,technical_pass,gate,workflow
1,Z1_DIVING_RES2S_SFW,ok,80.3,ZFINAL10-01_Z1_DIVING_RES2S_SFW_00001_.png,True,"{""pass"": true, ""reasons"": [], ""mean_luma"": 142.2, ""contrast"": 79.62, ""edge_score"": 517.89, ""size"": [576, 800]}",C:\AI\workflows\ZIMAGE_FINAL10_MAIN_20260725\01_Z1_DIVING_RES2S_SFW.json
2,Z1_DIVING_RES2S_NSFW,ok,84.3,ZFINAL10-02_Z1_DIVING_RES2S_NSFW_00001_.png,True,"{""pass"": true, ""reasons"": [], ""mean_luma"": 168.15, ""contrast"": 56.33, ""edge_score"": 379.45, ""size"": [576, 800]}",C:\AI\workflows\ZIMAGE_FINAL10_MAIN_20260725\02_Z1_DIVING_RES2S_NSFW.json
3,Z2_BEYOND_RES2S_SFW,ok,87.8,ZFINAL10-03_Z2_BEYOND_RES2S_SFW_00001_.png,True,"{""pass"": true, ""reasons"": [], ""mean_luma"": 147.8, ""contrast"": 82.24, ""edge_score"": 611.55, ""size"": [576, 800]}",C:\AI\workflows\ZIMAGE_FINAL10_MAIN_20260725\03_Z2_BEYOND_RES2S_SFW.json
4,Z2_BEYOND_RES2S_NSFW,ok,84.4,ZFINAL10-04_Z2_BEYOND_RES2S_NSFW_00001_.png,True,"{""pass"": true, ""reasons"": [], ""mean_luma"": 169.68, ""contrast"": 53.91, ""edge_score"": 459.16, ""size"": [576, 800]}",C:\AI\workflows\ZIMAGE_FINAL10_MAIN_20260725\04_Z2_BEYOND_RES2S_NSFW.json
5,Z3_MOODY_RES2S_SFW,ok,82.3,ZFINAL10-05_Z3_MOODY_RES2S_SFW_00001_.png,True,"{""pass"": true, ""reasons"": [], ""mean_luma"": 147.42, ""contrast"": 81.01, ""edge_score"": 474.92, ""size"": [576, 800]}",C:\AI\workflows\ZIMAGE_FINAL10_MAIN_20260725\05_Z3_MOODY_RES2S_SFW.json
6,Z3_MOODY_RES2S_NSFW,ok,86.3,ZFINAL10-06_Z3_MOODY_RES2S_NSFW_00001_.png,True,"{""pass"": true, ""reasons"": [], ""mean_luma"": 173.61, ""contrast"": 67.6, ""edge_score"": 408.61, ""size"": [576, 800]}",C:\AI\workflows\ZIMAGE_FINAL10_MAIN_20260725\06_Z3_MOODY_RES2S_NSFW.json
7,Z4_MOODY_EULER_H4_SFW,ok,68.2,ZFINAL10-07_Z4_MOODY_EULER_H4_SFW_00001_.png,True,"{""pass"": true, ""reasons"": [], ""mean_luma"": 153.78, ""contrast"": 81.99, ""edge_score"": 496.19, ""size"": [576, 800]}",C:\AI\workflows\ZIMAGE_FINAL10_MAIN_20260725\07_Z4_MOODY_EULER_H4_SFW.json
8,Z4_MOODY_EULER_H4_NSFW,ok,66.4,ZFINAL10-08_Z4_MOODY_EULER_H4_NSFW_00001_.png,True,"{""pass"": true, ""reasons"": [], ""mean_luma"": 178.97, ""contrast"": 53.28, ""edge_score"": 367.19, ""size"": [576, 800]}",C:\AI\workflows\ZIMAGE_FINAL10_MAIN_20260725\08_Z4_MOODY_EULER_H4_NSFW.json
9,Z5_BEYOND_X21_SFW,ok,72.3,ZFINAL10-09_Z5_BEYOND_X21_SFW_00001_.png,True,"{""pass"": true, ""reasons"": [], ""mean_luma"": 168.33, ""contrast"": 72.61, ""edge_score"": 572.87, ""size"": [576, 800]}",C:\AI\workflows\ZIMAGE_FINAL10_MAIN_20260725\09_Z5_BEYOND_X21_SFW.json
10,Z5_BEYOND_X21_NSFW,ok,70.3,ZFINAL10-10_Z5_BEYOND_X21_NSFW_00001_.png,True,"{""pass"": true, ""reasons"": [], ""mean_luma"": 179.84, ""contrast"": 46.01, ""edge_score"": 486.07, ""size"": [576, 800]}",C:\AI\workflows\ZIMAGE_FINAL10_MAIN_20260725\10_Z5_BEYOND_X21_NSFW.json
