candidate,variant,state,elapsed_s,image,workflow,source,note
Z1_DIVING_RES2S,SFW,ok,78.2,ZC5-01_Z1_DIVING_RES2S-SFW_00001_.png,C:\AI\workflows\Z_CLOSE_CURVY_5PAIR_20260722\Z1_DIVING_RES2S_SFW.json,C:\AI\workflows\FINAL_SFW_NSFW_20260722\Z03_DIVING_SFW.json,
Z2_BEYOND_RES2S,SFW,ok,80.1,ZC5-02_Z2_BEYOND_RES2S-SFW_00001_.png,C:\AI\workflows\Z_CLOSE_CURVY_5PAIR_20260722\Z2_BEYOND_RES2S_SFW.json,C:\AI\workflows\FINAL_SFW_NSFW_20260722\Z01_BEYOND_SFW.json,
Z1_DIVING_RES2S,NSFW,ok,78.4,ZC5-01_Z1_DIVING_RES2S-NSFW_00001_.png,C:\AI\workflows\Z_CLOSE_CURVY_5PAIR_20260722\Z1_DIVING_RES2S_NSFW.json,C:\AI\workflows\FINAL_SFW_NSFW_20260722\Z03_DIVING_SFW.json,
Z2_BEYOND_RES2S,NSFW,ok,82.3,ZC5-02_Z2_BEYOND_RES2S-NSFW_00001_.png,C:\AI\workflows\Z_CLOSE_CURVY_5PAIR_20260722\Z2_BEYOND_RES2S_NSFW.json,C:\AI\workflows\FINAL_SFW_NSFW_20260722\Z01_BEYOND_SFW.json,
Z3_MOODY_RES2S,SFW,ok,78.2,ZC5-03_Z3_MOODY_RES2S-SFW_00001_.png,C:\AI\workflows\Z_CLOSE_CURVY_5PAIR_20260722\Z3_MOODY_RES2S_SFW.json,C:\AI\workflows\FINAL_SFW_NSFW_20260722\Z02_MOODY_SFW.json,
Z3_MOODY_RES2S,NSFW,ok,82.3,ZC5-03_Z3_MOODY_RES2S-NSFW_00001_.png,C:\AI\workflows\Z_CLOSE_CURVY_5PAIR_20260722\Z3_MOODY_RES2S_NSFW.json,C:\AI\workflows\FINAL_SFW_NSFW_20260722\Z02_MOODY_SFW.json,
Z4_MOODY_EULER_H4,SFW,ok,64.2,ZC5-04_Z4_MOODY_EULER_H4-SFW_00001_.png,C:\AI\workflows\Z_CLOSE_CURVY_5PAIR_20260722\Z4_MOODY_EULER_H4_SFW.json,C:\AI\workflows\OLD_WINNER_SLOW_20260722\B1_H4_ORIGINAL.json,
Z4_MOODY_EULER_H4,NSFW,ok,64.5,ZC5-04_Z4_MOODY_EULER_H4-NSFW_00001_.png,C:\AI\workflows\Z_CLOSE_CURVY_5PAIR_20260722\Z4_MOODY_EULER_H4_NSFW.json,C:\AI\workflows\OLD_WINNER_SLOW_20260722\B1_H4_ORIGINAL.json,
Z5_BEYOND_X21,SFW,ok,66.4,ZC5-05_Z5_BEYOND_X21-SFW_00001_.png,C:\AI\workflows\Z_CLOSE_CURVY_5PAIR_20260722\Z5_BEYOND_X21_SFW.json,C:\AI\workflows\COMMUNITY_TEST_20260717\FINAL_TOP10_PAIR_20260719\08_BEYOND_X21_NSFW.json,
Z5_BEYOND_X21,NSFW,ok,72.2,ZC5-05_Z5_BEYOND_X21-NSFW_00001_.png,C:\AI\workflows\Z_CLOSE_CURVY_5PAIR_20260722\Z5_BEYOND_X21_NSFW.json,C:\AI\workflows\COMMUNITY_TEST_20260717\FINAL_TOP10_PAIR_20260719\08_BEYOND_X21_NSFW.json,
